THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
656,794,747,5432,4168,-16504,2
656,794,747,5120,4524,-16344,2
656,794,747,5336,4824,-16340,2
656,794,746,5396,4600,-16292,2
656,794,746,5308,4756,-16312,2
656,793,746,5388,4304,-16400,2
656,794,746,5288,4192,-16396,2
656,794,746,5396,4108,-16576,2
656,793,746,5372,4380,-16460,2
656,793,746,5872,3524,-16460,2
656,793,746,5472,4944,-17264,2
656,794,746,4728,4196,-15844,2
656,793,748,5456,3628,-16528,2
656,793,749,4120,3720,-16968,2
656,793,749,3868,3688,-16796,2
656,793,747,4636,4672,-16928,2
656,793,746,4812,3564,-16448,2
656,793,746,5592,3444,-16648,2
656,793,746,5864,3684,-16172,2
656,793,746,6088,3612,-16128,2
656,793,746,6204,3664,-15900,2
656,792,746,6260,4276,-16436,2
656,792,746,6360,4660,-16128,2
656,792,746,5928,4356,-16112,2
656,792,745,6292,4692,-16160,2
656,792,746,5744,4584,-16368,2
656,792,745,6068,4796,-15368,2
656,792,745,5616,4992,-15176,2
656,792,745,5688,5812,-16548,2
656,792,745,6068,6148,-16492,2
656,792,745,6492,5864,-15592,2
656,792,745,6248,5168,-15244,2
656,792,745,7308,5084,-15508,2
656,791,745,7100,5108,-15508,2
656,792,745,6496,5172,-15628,2
656,791,745,6840,5072,-15844,2
656,792,744,6496,5176,-15808,2
656,791,745,6220,4360,-15724,2
656,792,744,6256,4212,-16220,2
656,791,745,5176,4592,-16324,2
656,791,745,5004,4472,-16408,2
656,791,744,4832,3904,-15932,2
656,791,745,4740,5340,-16156,2
656,791,744,4896,5396,-16552,2
656,791,744,4476,5188,-16652,2
656,791,744,4136,3636,-16580,2
656,791,744,3864,4340,-17620,2
656,791,745,3732,4084,-16524,2
656,791,744,3680,4076,-16716,2
657,791,744,3628,5388,-15852,2
657,791,744,3944,5720,-16872,2
656,791,743,4916,5128,-16752,2
656,790,743,5520,4264,-16204,2
656,791,743,5936,4000,-15556,2
656,790,743,7028,4056,-15884,2
656,790,743,7884,3892,-15012,2
656,789,743,8356,3888,-15428,2
656,789,743,8688,3612,-15664,2
656,789,743,8776,3944,-15432,2
