THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
870,917,917,7693,-13289,-6345,8
836,835,915,18221,-976,-1624,6
853,918,903,16840,700,-6645,2
873,917,856,15659,6336,-3880,4
858,915,917,12851,7021,-10597,2
834,818,854,15137,1997,-6291,5
866,839,849,16499,3007,-6128,3
860,919,916,9335,-16049,-8561,8
824,821,855,10185,9568,-6927,5
869,848,857,16229,3613,-5693,3
868,844,851,15660,3083,-6308,3
854,912,913,15917,3491,-6343,2
879,821,916,18153,753,-2852,6
866,841,850,16501,3008,-6128,3
868,918,917,7663,-13068,-6055,8
892,858,863,15447,4797,-6716,3
850,821,855,14627,2177,-4035,5
857,917,903,16501,2160,-7615,2
825,820,853,10965,4051,-12739,5
879,837,915,16600,491,-1959,6
865,916,918,15380,4760,-2781,2
861,916,917,18609,1769,-1005,2
921,811,828,16344,3292,-4979,1
904,910,862,18184,2424,-2969,4
862,918,917,17256,1837,-2065,2
873,850,862,12063,-6821,-4257,3
891,862,861,15833,7397,-428,3
893,859,862,15448,4796,-6716,3
862,917,919,16236,2291,-963,2
868,844,850,15661,3084,-6308,3
869,919,918,7693,-13287,-6343,8
889,916,869,16121,1179,-5165,4
921,812,830,16773,3159,-5816,1
918,914,863,16787,-1165,-5215,7
878,860,859,15211,2256,-6768,3
889,860,860,15833,7397,-428,3
919,916,866,16976,-865,-5908,7
868,846,851,16151,2644,-5993,3
873,850,861,12064,-6820,-4256,3
843,837,914,18357,-469,-4060,6
921,812,831,16393,3145,-4407,1
829,835,915,15927,745,-1845,6
860,917,919,17627,1228,-201,2
919,914,862,17400,-1645,-5745,7
830,834,914,17785,-893,-3469,6
870,919,917,8144,-11891,-6245,8
852,917,916,16039,-1793,-3744,2
873,853,861,15017,-5128,-7939,3
918,915,866,17167,-1104,-5732,7
843,917,901,15611,1572,-4460,2
857,917,920,16893,316,-7567,2
918,914,861,17400,-1645,-5743,7
862,917,917,16235,2292,-965,2
875,915,858,18076,-2165,-5751,4
892,859,863,15447,4797,-6717,3
863,918,917,17257,1837,-2065,2
920,913,861,17399,-1645,-5744,7
835,818,848,16664,3735,-2560,5
866,917,918,8023,-13824,-6996,8
893,859,862,15449,4795,-6717,3
824,822,852,10964,4052,-12741,5
828,834,915,15929,745,-1843,6
880,862,860,16221,2243,-3633,3
